Provincia	Código INE	Nombre del Municipio	Nº de conatos	Nº de incendios	Total conatos + incendios	Superficie arbolada (ha)	Superficie desarbola (ha)	Superficie forestal total (ha)	Superficie total del Municipio 	
A Coruña	15001	Abegondo	6	192	198	374.87	89.62	464.49	8,421.16	
	15002	Ames	25	364	389	548	561.82	1109.82	8,040.13	
	15003	Aranga	47	264	311	660.19	601.23	1261.42	11,998.27	
	15004	Ares	4	37	41	65.56	218.17	283.73	1,791.00	
	15005	Arteixo	41	330	371	220.59	322.67	543.26	9,376.51	
	15006	Arzúa	24	80	104	44.86	22.38	67.24	15,604.06	
	15007	A Baña	36	261	297	734.44	218.42	952.86	9,854.19	
	15008	Bergondo	12	58	70	8.85	6.43	15.28	3,274.42	
	15009	Betanzos	14	39	53	9.77	9.81	19.58	2,429.90	
	15010	Boimorto	11	60	71	20.18	40.65	60.83	8,266.84	
	15011	Boiro	109	727	836	2063.7	1218.75	3282.45	8,822.63	
	15012	Boqueixón	11	69	80	153.45	118.86	272.31	7,347.68	
	15013	Brión	17	310	327	422.37	479.81	902.18	7,524.11	
	15014	Cabana de Bergantiños	23	95	118	159.72	53.87	213.59	10,039.07	
	15015	Cabanas	4	19	23	2.9	1.43	4.33	3,017.21	
	15016	Camariñas	8	84	92	1358.32	1124.67	2482.99	5,163.29	
	15017	Cambre	21	93	114	13.59	13.66	27.25	4,089.59	
	15018	A Capela	1	28	29	394.63	168.47	563.1	5,789.59	
	15019	Carballo	169	589	758	312.72	276.36	589.08	18,771.75	
	15020	Carnota	5	201	206	641.55	3700.08	4341.63	7,068.62	
	15021	Carral	18	109	127	95.76	60.93	156.69	4,813.71	
	15022	Cedeira	17	78	95	30.77	147.43	178.2	8,570.50	
	15023	Cee	5	94	99	694.42	625.95	1320.37	5,782.70	
	15024	Cerceda	17	215	232	119.62	290.88	410.5	11,157.25	
	15025	Cerdido	8	20	28	24.52	8.35	32.87	5,288.78	
	15027	Coirós	13	38	51	24.77	21.88	46.65	3,372.02	
	15028	Corcubión	2	8	10	36.95	3.64	40.59	645.50	
	15029	Coristanco	42	353	395	379.68	534.6	914.28	14,182.88	
