"STATION","NAME","DATE","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02","1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03","1.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04","9.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05",
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06","20.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07","22.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08","22.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09","18.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10","10.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11","4.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12","1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01","3.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-02","-0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-03","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-04","10.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-05","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-06","22.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-07","25.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-08","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-09","20.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-10","13.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-11","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-12","1.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-01","-2.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-02","-0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-03","6.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-04","11.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-05","15.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-06","20.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-07","22.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-08","23.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-09","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-10","12.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-11","3.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871-12","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-01","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-02","-1.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-03","-0.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-04","9.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-05","16.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-06","22.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-07","25.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-08","24.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-09","19.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-10","11.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-11","5.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872-12","-3.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-01","-2.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-02","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-03","2.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-04","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-05","14.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-06","21.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-07","24.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-08","22.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-09","18.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-10","13.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-11","2.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873-12","2.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-01","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-02","-0.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-03","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-04","5.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-05","14.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-06","21.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-07","23.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-08","21.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-09","19.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-10","12.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-11","6.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874-12","0.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-01","-4.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-02","-3.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-03","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-04","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-05","15.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-06","20.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-07","23.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-08","22.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-09","17.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-10","11.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-11","3.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875-12","0.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-01","2.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-02","0.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-03","1.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-04","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-05","15.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-06","23.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-07","26.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-08","24.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-09","17.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-10","10.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-11","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876-12","-3.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-01","-2.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-02","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-03","2.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-04","8.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-05","15.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-06","21.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-07","24.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-08","24.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-09","19.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-10","13.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-11","6.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877-12","3.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-01","-1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-02","0.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-03","6.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-04","12.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-05","15.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-06","19.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-07","25.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-08","23.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-09","20.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-10","14.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-11","6.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878-12","0.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-01","-3.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-02","-2.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-03","4.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-04","9.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-05","17.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-06","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-07","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-08","22.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-09","17.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-10","15.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-11","6.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879-12","2.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-01","4.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-02","2.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-03","2.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-04","9.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-05","19.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-06","22.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-07","23.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-08","22.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-09","19.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-10","11.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880-11","3.9"
